000000,Officially Xerox
000001,SuperLAN-2U
000002,BBN (was internal usage only
000003,XEROX CORPORATION
000004,XEROX CORPORATION
000005,XEROX CORPORATION
000006,XEROX CORPORATION
000007,XEROX CORPORATION
000008,XEROX CORPORATION
000009,powerpipes?
00000A,OMRON TATEISI ELECTRONICS CO.
00000B,MATRIX CORPORATION
00000C,Cisco
00000D,FIBRONICS LTD.
00000E,Fujitsu
00000F,Next
000010,Hughes
000011,Tektrnix
000012,INFORMATION TECHNOLOGY LIMITED
000013,Camex
000014,Netronix
000015,Datapoint Corporation
000016,DU PONT PIXEL SYSTEMS     .
000017,Oracle
000018,Webster Computer CorporationAppletalk/Ethernet Gateway
000019,APPLIED DYNAMICS INTERNATIONAL
00001A,AMD
00001B,Novell (now Eagle Technology)
00001C,JDR Microdevicesgeneric
00001D,Cabletron
00001E,TELSIST INDUSTRIA ELECTRONICA
00001F,Cryptall Communications Corp.
000020,DIAB
000021,SC&C
000022,Visual Technology
000023,ABB Automation AB
000024,Olicom
000025,RAMTEK CORP.
000026,SHA-KEN CO. LTD.
000027,JAPAN RADIO COMPANY
000028,PRODIGY SYSTEMS CORPORATION
000029,Imc
00002A,Trw
00002B,CRISP AUTOMATION
00002C,NRC - Network Resources Corporation - MultiGate Hub1+
00002D,CHROMATICS INC
00002E,SOCIETE EVIRA
00002F,TIMEPLEX INC.
000030,VG LABORATORY SYSTEMS LTD
000031,QPSX COMMUNICATIONS
000032,GPT Limited (reassigned from GEC Computers Ltd)
000033,EGAN MACHINERY COMPANY
000034,NETWORK RESOURCES CORPORATION
000035,SPECTRAGRAPHICS CORPORATION
000036,ATARI CORPORATION
000037,Oxford Metrics Ltd
000038,CSS LABS
000039,TOSHIBA CORPORATION
00003A,CHYRON CORPORATION
00003B,Hyundai/# Hyundai/AxilSun clones
00003C,Auspex
00003D,AT&T
00003E,Simpact
00003F,Syntrex Inc
000040,APPLICON
000041,ICE CORPORATION
000042,METIER MANAGEMENT SYSTEMS LTD.
000043,MICRO TECHNOLOGY
000044,Castelle
000045,FORD AEROSPACE & COMM. CORP.
000046,ISC-BR
000047,NICOLET INSTRUMENTS CORP.
000048,Epson
000049,Apricot Ltd.
00004A,ADC CODENOLL TECHNOLOGY CORP.
00004B,APT
00004C,NEC Corporation
00004D,DCI CORPORATION
00004E,AMPEX CORPORATION
00004F,Logicraft 386-Ware P.C. Emulator
000050,RADISYS CORPORATION
000051,Hob Electronic Gmbh & Co. KG
000052,Optical Data Systems
000053,COMPUCORP
000054,Schneider Electric
000055,AT&T
000056,DR. B. STRUCK
000057,SCITEX CORPORATION LTD.
000058,Racore Computer Products Inc
000059,Hellige GMBH
00005A,SK(Schneider & Koch in Europe and Syskonnect outside of Europe)
00005B,Eltec
00005C,TELEMATICS INTERNATIONAL INC.
00005D,Rce
00005E,U.S. Department of Defense (IANA)
00005F,Sumitomo
000060,KONTRON ELEKTRONIK GMBH
000061,Gateway Communications
000062,Honeywell
000063,HP
000064,Yokogawa Digital Computer Corp
000065,Network General
000066,Talaris
000067,SOFT * RITE
000068,Rosemount Controls
000069,SGI
00006A,COMPUTER CONSOLES INC.
00006B,MIPS
00006C,Private
00006D,Case
00006E,Artisoft
00006F,Madge Networks Ltd.Token-ring adapters
000070,HCL LIMITED
000071,ADRA SYSTEMS INC.
000072,MINIWARE TECHNOLOGY
000073,Dupont
000074,RICOH COMPANY LTD.
000075,Bell Northern Research (BNR)
000076,ABEKAS VIDEO SYSTEM
000077,Interphase[Used in other systems
000078,Labtam Australia
000079,Networth Incorporated[bought by Compaq
00007A,Ardent
00007B,Research Machines
00007C,AMPERE INCORPORATED
00007D,Cray
00007E,NetFRAME multiprocessor network servers
00007F,Linotype-Hell AGLinotronic typesetters
000080,Cray Communications (formerly Dowty Network Services)[Also shows as Harris (3M) (new) and/or Imagen(?) elsewhere]
000081,Synoptics
000082,LECTRA SYSTEMES SA
000083,Tadpole Technology  [had Optical Data Systems which is wrong according to both]
000084,Aquila (?)
000085,CANON INC.
000086,Gateway Communications Inc. (then Megahertz & now 3com)
000087,Hitachi
000088,Brocade Communications Systems
000089,Cayman SystemsGatorbox
00008A,Datahouse Information Systems
00008B,Infotron
00008C,Alloy Computer Products (Australia) Pty Ltd
00008D,Cryptek Inc.
00008E,Solbourne(?)
00008F,Raytheon
000090,Microcom
000091,ANRITSU CORPORATION
000092,Unisys
000093,Proteon
000094,AsanteMAC
000095,Sony/Tektronix
000096,MARCONI ELECTRONICS LTD.
000097,Epoch
000098,Cross Com
000099,Memorex Telex Corporations
00009A,RC COMPUTER A/S
00009B,INFORMATION INTERNATIONAL
00009C,RolmMil-               # ROLM MIL-SPEC COMPUTERS
00009D,LOCUS COMPUTING CORPORATION
00009E,MARLI S.A.
00009F,Ameristar Technology
0000A0,Sanyo Electronics
0000A1,MARQUETTE ELECTRIC CO.
0000A2,Wellfleet
0000A3,NAT
0000A4,Acorn
0000A5,CSC
0000A6,Network General (internal assignment
0000A7,NCD
0000A8,Stratus Computer
0000A9,Network Systems
0000AA,XeroxXerox machines
0000AB,LOGIC MODELING CORPORATION
0000AC,Conware Netzpartner[had Apollo
0000AD,BRUKER INSTRUMENTS INC.
0000AE,Dassault Automatismes et Telecommunications
0000AF,Nuclear DataAcquisition Interface Modules (AIM)
0000B0,RND (RAD Network Devices)
0000B1,Alpha Microsystems Inc.
0000B2,TELEVIDEO SYSTEMS
0000B3,Cimlinc
0000B4,Edimax
0000B5,DatabilityTerminal Servers
0000B6,Micro-matic Research
0000B7,DoveFastnet
0000B8,SEIKOSHA CO.
0000B9,MCDONNELL DOUGLAS COMPUTER SYS
0000BA,SIIG
0000BB,TRI-DATA Systems Inc.Netway products
0000BC,Allen-Bradley
0000BD,MITSUBISHI CABLE COMPANY
0000BE,THE NTI GROUP
0000BF,SYMMETRIC COMPUTER SYSTEMS
0000C0,Western Digital now SMC (Std. Microsystems Corp.)
0000C1,Olicom A/S
0000C2,INFORMATION PRESENTATION TECH.
0000C3,HARRIS CORP COMPUTER SYS DIV
0000C4,WATERS DIV. OF MILLIPORE
0000C5,Farallon Computing Inc
0000C6,HP Intelligent Networks Operation (formerly Eon Systems)
0000C7,ARIX CORPORATION
0000C8,Altos
0000C9,EmulexTerminal Servers
0000CA,LANcity Cable Modems (now owned by BayNetworks)
0000CB,COMPU-SHACK ELECTRONIC GMBH
0000CC,Densan Co.
0000CD,Industrial Research Limited
0000CE,MEGADATA CORP.
0000CF,HAYES MICROCOMPUTER PRODUCTS
0000D0,Develcon Electronics
0000D1,Adaptec
0000D2,SBE Inc
0000D3,Wang Labs
0000D4,Puredata
0000D5,MICROGNOSIS INTERNATIONAL
0000D6,PUNCH LINE HOLDING
0000D7,Dartmouth College (NED Router)
